Crop,Variety,State,Season,Year,Quantity,Production,Unit,Cost,Recommended_Zone
Sugarcane,Standard,Haryana,Zaid,2013,74.49,74.32,Tons,170781.53,Haryana
Rice,Hybrid,Karnataka,Kharif,2007,33.53,36.67,Tons,63484.62,Karnataka
Jute,High Yield,Karnataka,Zaid,2010,13.62,16.13,Tons,29842.16,Karnataka
Rice,Standard,Madhya Pradesh,Rabi,2005,34.71,36.13,Tons,77387.98,Madhya Pradesh
Oilseeds,Standard,Uttar Pradesh,Zaid,2009,12.92,10.61,Tons,30972.2,Uttar Pradesh
Rice,Standard,Gujarat,Zaid,2003,38.24,31.46,Tons,58415.74,Gujarat
Pulses,Standard,Punjab,Rabi,2008,10.99,12.01,Tons,17645.82,Punjab
Sugarcane,Organic,Haryana,Zaid,2007,79.39,71.47,Tons,188315.48,Haryana
Jute,High Yield,Madhya Pradesh,Kharif,2007,19.12,16.19,Tons,32176.46,Madhya Pradesh
Maize,Organic,Gujarat,Rabi,2010,27.25,23.4,Tons,60106.29,Gujarat
Wheat,High Yield,Rajasthan,Kharif,2012,25.96,25.14,Tons,51265.88,Rajasthan
Cotton,High Yield,Madhya Pradesh,Zaid,2001,8.3,7.87,Tons,18386.43,Madhya Pradesh
Maize,Standard,Haryana,Rabi,2011,35.5,31.94,Tons,82283.37,Haryana
Maize,Standard,Rajasthan,Kharif,2013,21.15,22.38,Tons,41623.05,Rajasthan
Groundnut,Hybrid,Gujarat,Rabi,2005,19.49,19.19,Tons,38921.41,Gujarat
Sugarcane,Organic,Karnataka,Zaid,2002,45.48,45.27,Tons,76136.84,Karnataka
Wheat,Organic,Uttar Pradesh,Rabi,2005,41.33,39.04,Tons,72853.9,Uttar Pradesh
Wheat,Hybrid,Punjab,Zaid,2012,31.07,34.86,Tons,48509.02,Punjab
Groundnut,High Yield,Madhya Pradesh,Rabi,2002,13.48,11.12,Tons,29783.13,Madhya Pradesh
Maize,Standard,Gujarat,Rabi,2002,30.17,35.88,Tons,58767.24,Gujarat
Rice,Hybrid,Maharashtra,Zaid,2009,32.37,27.86,Tons,76970.68,Maharashtra
Oilseeds,High Yield,Gujarat,Kharif,2010,14.43,16.61,Tons,30999.46,Gujarat
Sugarcane,Organic,Uttar Pradesh,Rabi,2006,86.32,95.76,Tons,173249.4,Uttar Pradesh
Sugarcane,Organic,Maharashtra,Zaid,2002,63.88,72.9,Tons,105836.35,Maharashtra
Pulses,High Yield,Rajasthan,Kharif,2010,7.57,7.78,Tons,17482.92,Rajasthan
Groundnut,High Yield,Haryana,Zaid,2001,14.84,14.93,Tons,24519.18,Haryana
Soybean,High Yield,Rajasthan,Rabi,2007,9.12,9.98,Tons,22543.38,Rajasthan
Sugarcane,Standard,Punjab,Kharif,2006,81.19,93.04,Tons,181410.17,Punjab
Jute,High Yield,Gujarat,Zaid,2005,19.61,16.43,Tons,34535.51,Gujarat
Oilseeds,High Yield,Rajasthan,Rabi,2007,12.03,10.42,Tons,29252.31,Rajasthan
Pulses,High Yield,Punjab,Kharif,2011,9.34,7.75,Tons,17851.93,Punjab
Jute,Organic,Madhya Pradesh,Rabi,2013,19.85,20.4,Tons,43856.86,Madhya Pradesh
Soybean,Hybrid,Gujarat,Rabi,2001,12.81,10.52,Tons,21696.22,Gujarat
Oilseeds,Hybrid,Haryana,Zaid,2014,12.81,13.02,Tons,22670.52,Haryana
Sugarcane,Organic,Karnataka,Rabi,2006,64.76,70.59,Tons,118532.74,Karnataka
Maize,Standard,Madhya Pradesh,Zaid,2004,19.3,21.93,Tons,44966.63,Madhya Pradesh
Pulses,Standard,Uttar Pradesh,Rabi,2004,9.58,8.65,Tons,23141.93,Uttar Pradesh
Sugarcane,Standard,Madhya Pradesh,Kharif,2003,57.05,62.01,Tons,141018.65,Madhya Pradesh
Maize,High Yield,Madhya Pradesh,Zaid,2002,19.31,19.83,Tons,30472.76,Madhya Pradesh
Jute,High Yield,Uttar Pradesh,Rabi,2003,28.97,33.06,Tons,64461.58,Uttar Pradesh
Soybean,Standard,Punjab,Kharif,2014,12.87,14.02,Tons,24355.06,Punjab
Maize,Hybrid,Uttar Pradesh,Kharif,2003,30.77,27.76,Tons,74397.54,Uttar Pradesh
Jute,Organic,Rajasthan,Rabi,2006,17.16,16.88,Tons,42182.23,Rajasthan
Jute,Standard,Punjab,Rabi,2014,31.85,26.3,Tons,52956.54,Punjab
Sugarcane,High Yield,Uttar Pradesh,Kharif,2013,82.74,93.18,Tons,177998.84,Uttar Pradesh
Oilseeds,Hybrid,Punjab,Zaid,2013,13.14,11.12,Tons,25372.55,Punjab
Rice,High Yield,Uttar Pradesh,Rabi,2004,59.97,57.0,Tons,111876.81,Uttar Pradesh
Groundnut,Standard,Andhra Pradesh,Kharif,2010,14.68,12.06,Tons,25451.28,Andhra Pradesh
Maize,Hybrid,Madhya Pradesh,Zaid,2013,19.95,23.67,Tons,30113.6,Madhya Pradesh
Wheat,Hybrid,Uttar Pradesh,Kharif,2008,36.34,38.17,Tons,76673.96,Uttar Pradesh
Rice,Standard,Andhra Pradesh,Kharif,2004,41.36,34.58,Tons,81204.57,Andhra Pradesh
Pulses,Hybrid,Madhya Pradesh,Rabi,2006,8.97,10.24,Tons,19177.4,Madhya Pradesh
Cotton,High Yield,Uttar Pradesh,Rabi,2013,16.5,17.66,Tons,31483.89,Uttar Pradesh
Groundnut,Standard,Madhya Pradesh,Rabi,2009,13.87,14.3,Tons,30944.64,Madhya Pradesh
Jute,High Yield,Madhya Pradesh,Kharif,2003,19.52,21.78,Tons,44157.04,Madhya Pradesh
Rice,Organic,Rajasthan,Rabi,2012,40.55,38.19,Tons,92006.4,Rajasthan
Pulses,Organic,Tamil Nadu,Rabi,2001,9.74,11.19,Tons,15628.8,Tamil Nadu
Soybean,Hybrid,Rajasthan,Zaid,2006,6.56,5.3,Tons,15757.34,Rajasthan
Wheat,Standard,Karnataka,Zaid,2013,29.87,25.33,Tons,73359.69,Karnataka
Sugarcane,High Yield,Karnataka,Rabi,2007,75.56,63.66,Tons,182915.7,Karnataka
Pulses,Organic,Madhya Pradesh,Rabi,2012,7.37,6.06,Tons,17559.94,Madhya Pradesh
Oilseeds,High Yield,Uttar Pradesh,Kharif,2009,13.38,12.36,Tons,24407.03,Uttar Pradesh
Wheat,High Yield,Tamil Nadu,Zaid,2001,26.17,24.92,Tons,60709.32,Tamil Nadu
Wheat,Organic,Uttar Pradesh,Rabi,2008,50.18,49.5,Tons,108205.78,Uttar Pradesh
Pulses,High Yield,Karnataka,Zaid,2001,5.5,6.07,Tons,8788.3,Karnataka
Cotton,Organic,Tamil Nadu,Rabi,2001,14.17,12.83,Tons,27316.51,Tamil Nadu
Soybean,Hybrid,Punjab,Rabi,2004,14.6,13.55,Tons,32173.86,Punjab
Soybean,Organic,Karnataka,Rabi,2003,8.98,7.97,Tons,15906.82,Karnataka
Rice,High Yield,Punjab,Rabi,2007,53.11,44.84,Tons,130304.17,Punjab
Jute,High Yield,Uttar Pradesh,Zaid,2006,20.55,18.07,Tons,41896.9,Uttar Pradesh
Oilseeds,Hybrid,Punjab,Zaid,2009,13.6,11.69,Tons,26685.15,Punjab
Groundnut,Standard,Madhya Pradesh,Zaid,2011,9.73,9.03,Tons,14639.35,Madhya Pradesh
Rice,Hybrid,Uttar Pradesh,Zaid,2009,36.87,40.44,Tons,81310.11,Uttar Pradesh
Sugarcane,High Yield,Tamil Nadu,Zaid,2009,62.78,70.86,Tons,137618.33,Tamil Nadu
Pulses,Organic,Andhra Pradesh,Kharif,2013,8.52,7.74,Tons,20246.46,Andhra Pradesh
Sugarcane,Organic,Haryana,Kharif,2010,79.07,94.6,Tons,171089.32,Haryana
Cotton,High Yield,Karnataka,Rabi,2001,12.64,11.78,Tons,30193.5,Karnataka
Oilseeds,Organic,Andhra Pradesh,Rabi,2011,12.3,13.16,Tons,30483.45,Andhra Pradesh
Groundnut,Standard,Karnataka,Rabi,2006,16.5,17.6,Tons,35059.31,Karnataka
Pulses,Organic,Madhya Pradesh,Rabi,2009,8.66,8.54,Tons,21208.93,Madhya Pradesh
Soybean,Standard,Andhra Pradesh,Kharif,2014,9.11,8.59,Tons,20891.64,Andhra Pradesh
Cotton,Hybrid,Karnataka,Rabi,2010,10.98,12.93,Tons,20125.25,Karnataka
Soybean,High Yield,Haryana,Zaid,2013,10.93,11.84,Tons,25390.26,Haryana
Soybean,Organic,Andhra Pradesh,Kharif,2006,9.78,9.55,Tons,18707.68,Andhra Pradesh
Soybean,Standard,Punjab,Rabi,2003,16.44,18.09,Tons,34272.13,Punjab
Sugarcane,High Yield,Gujarat,Kharif,2001,81.58,88.64,Tons,156374.29,Gujarat
Oilseeds,High Yield,Uttar Pradesh,Rabi,2004,17.83,17.72,Tons,43622.44,Uttar Pradesh
Rice,Organic,Maharashtra,Kharif,2012,42.18,47.67,Tons,101730.44,Maharashtra
Cotton,Hybrid,Andhra Pradesh,Zaid,2001,10.37,11.64,Tons,19595.54,Andhra Pradesh
Sugarcane,Organic,Andhra Pradesh,Kharif,2004,80.16,79.7,Tons,155011.93,Andhra Pradesh
Pulses,High Yield,Madhya Pradesh,Zaid,2009,5.03,4.3,Tons,10459.42,Madhya Pradesh
Wheat,Hybrid,Gujarat,Kharif,2002,36.34,31.39,Tons,69698.97,Gujarat
Wheat,Standard,Uttar Pradesh,Rabi,2014,45.66,43.16,Tons,105316.83,Uttar Pradesh
Maize,Standard,Madhya Pradesh,Rabi,2008,25.79,30.74,Tons,38706.35,Madhya Pradesh
Groundnut,Standard,Gujarat,Kharif,2007,17.05,17.63,Tons,39393.87,Gujarat
Rice,High Yield,Uttar Pradesh,Zaid,2014,37.66,30.76,Tons,62088.22,Uttar Pradesh
Pulses,Organic,Andhra Pradesh,Rabi,2006,8.38,9.14,Tons,15165.07,Andhra Pradesh
Sugarcane,High Yield,Madhya Pradesh,Kharif,2013,67.19,70.67,Tons,122745.48,Madhya Pradesh
Cotton,Organic,Andhra Pradesh,Kharif,2005,11.3,13.22,Tons,19162.55,Andhra Pradesh
Rice,Standard,Punjab,Kharif,2003,55.13,60.7,Tons,105971.69,Punjab
Groundnut,Hybrid,Karnataka,Rabi,2002,15.39,15.82,Tons,38225.7,Karnataka
Soybean,Organic,Uttar Pradesh,Kharif,2001,10.84,12.5,Tons,17158.0,Uttar Pradesh
Maize,Standard,Rajasthan,Kharif,2007,18.55,21.67,Tons,42607.73,Rajasthan
Rice,Organic,Karnataka,Kharif,2013,38.75,32.97,Tons,75131.22,Karnataka
Jute,Organic,Punjab,Kharif,2008,26.47,29.2,Tons,60060.1,Punjab
Maize,Hybrid,Uttar Pradesh,Rabi,2004,34.21,38.58,Tons,85198.47,Uttar Pradesh
Oilseeds,High Yield,Madhya Pradesh,Zaid,2013,8.29,7.84,Tons,14037.73,Madhya Pradesh
Oilseeds,Standard,Maharashtra,Rabi,2002,12.12,9.79,Tons,20205.39,Maharashtra
Maize,High Yield,Haryana,Zaid,2012,26.51,28.33,Tons,49528.43,Haryana
Oilseeds,Organic,Karnataka,Kharif,2008,11.35,12.6,Tons,25361.99,Karnataka
Groundnut,Hybrid,Karnataka,Kharif,2006,15.28,12.86,Tons,27797.62,Karnataka
Soybean,Hybrid,Punjab,Kharif,2002,14.93,13.06,Tons,28997.21,Punjab
Maize,Organic,Maharashtra,Kharif,2002,26.84,22.16,Tons,49241.49,Maharashtra
Oilseeds,Organic,Gujarat,Zaid,2001,10.44,8.77,Tons,24345.67,Gujarat
Jute,Standard,Madhya Pradesh,Zaid,2005,14.0,11.65,Tons,25230.32,Madhya Pradesh
Sugarcane,Hybrid,Haryana,Kharif,2011,91.66,76.61,Tons,184620.25,Haryana
Pulses,Standard,Maharashtra,Kharif,2013,8.31,8.92,Tons,18965.03,Maharashtra
Cotton,Organic,Madhya Pradesh,Zaid,2003,7.46,8.8,Tons,16546.71,Madhya Pradesh
Rice,Organic,Haryana,Kharif,2014,45.6,43.85,Tons,72495.63,Haryana
Cotton,Standard,Haryana,Zaid,2004,13.52,12.83,Tons,26370.32,Haryana
Pulses,Organic,Karnataka,Rabi,2010,8.78,9.24,Tons,13297.98,Karnataka
Oilseeds,Hybrid,Andhra Pradesh,Rabi,2006,11.9,11.51,Tons,28197.65,Andhra Pradesh
Oilseeds,Standard,Maharashtra,Rabi,2010,13.26,12.19,Tons,29686.89,Maharashtra
Wheat,Standard,Punjab,Zaid,2005,33.27,37.22,Tons,81001.43,Punjab
Soybean,Organic,Madhya Pradesh,Kharif,2012,8.08,8.7,Tons,14041.04,Madhya Pradesh
Rice,Hybrid,Andhra Pradesh,Zaid,2006,28.85,30.91,Tons,46281.51,Andhra Pradesh
Sugarcane,Hybrid,Uttar Pradesh,Kharif,2006,81.69,75.09,Tons,204209.22,Uttar Pradesh
Groundnut,Standard,Tamil Nadu,Rabi,2003,17.55,17.33,Tons,37090.83,Tamil Nadu
Rice,High Yield,Madhya Pradesh,Zaid,2008,24.74,27.68,Tons,44548.82,Madhya Pradesh
Maize,Hybrid,Uttar Pradesh,Kharif,2011,33.5,39.22,Tons,76120.88,Uttar Pradesh
Maize,Organic,Uttar Pradesh,Rabi,2012,37.43,34.98,Tons,59900.76,Uttar Pradesh
Rice,High Yield,Andhra Pradesh,Kharif,2004,35.26,30.59,Tons,64277.38,Andhra Pradesh
Oilseeds,Organic,Rajasthan,Rabi,2009,11.72,12.35,Tons,25897.35,Rajasthan
Soybean,Standard,Madhya Pradesh,Zaid,2012,6.59,6.64,Tons,14724.94,Madhya Pradesh
Groundnut,Standard,Gujarat,Kharif,2006,17.29,13.9,Tons,35707.44,Gujarat
Soybean,Organic,Uttar Pradesh,Kharif,2007,11.32,11.49,Tons,27419.42,Uttar Pradesh
Maize,Hybrid,Uttar Pradesh,Kharif,2004,32.94,36.87,Tons,49729.18,Uttar Pradesh
Cotton,Hybrid,Punjab,Zaid,2003,10.8,12.27,Tons,25732.37,Punjab
Soybean,Organic,Gujarat,Rabi,2004,13.73,15.75,Tons,34111.45,Gujarat
Rice,Standard,Punjab,Rabi,2005,51.55,56.99,Tons,88198.84,Punjab
Jute,Hybrid,Haryana,Kharif,2008,26.4,25.28,Tons,45415.37,Haryana
Sugarcane,High Yield,Rajasthan,Kharif,2009,67.37,53.93,Tons,151609.8,Rajasthan
Rice,Hybrid,Karnataka,Rabi,2007,40.16,39.41,Tons,84617.18,Karnataka
Maize,Standard,Andhra Pradesh,Zaid,2009,21.04,19.56,Tons,50828.73,Andhra Pradesh
Cotton,High Yield,Tamil Nadu,Kharif,2013,14.1,11.44,Tons,21599.89,Tamil Nadu
Soybean,Hybrid,Karnataka,Zaid,2014,8.45,7.52,Tons,14233.01,Karnataka
Cotton,Standard,Karnataka,Zaid,2002,9.65,9.19,Tons,22774.87,Karnataka
Pulses,High Yield,Uttar Pradesh,Kharif,2011,9.8,9.3,Tons,15759.71,Uttar Pradesh
Oilseeds,High Yield,Madhya Pradesh,Rabi,2011,11.65,13.54,Tons,22528.96,Madhya Pradesh
Oilseeds,Standard,Haryana,Zaid,2011,11.89,12.85,Tons,23395.8,Haryana
Jute,Standard,Karnataka,Zaid,2014,16.62,14.13,Tons,29907.59,Karnataka
Pulses,High Yield,Karnataka,Kharif,2002,7.06,7.13,Tons,12022.2,Karnataka
Sugarcane,Standard,Maharashtra,Rabi,2012,87.8,77.27,Tons,169078.15,Maharashtra
Soybean,High Yield,Tamil Nadu,Kharif,2007,10.2,8.81,Tons,25312.4,Tamil Nadu
Oilseeds,High Yield,Gujarat,Kharif,2005,14.39,16.15,Tons,28615.79,Gujarat
Soybean,Standard,Rajasthan,Rabi,2013,8.37,9.18,Tons,15912.01,Rajasthan
Rice,High Yield,Haryana,Zaid,2004,37.76,33.67,Tons,90718.87,Haryana
Jute,Organic,Punjab,Zaid,2014,17.96,17.64,Tons,30904.55,Punjab
Cotton,Hybrid,Karnataka,Zaid,2006,9.99,9.12,Tons,24840.37,Karnataka
Wheat,Standard,Tamil Nadu,Rabi,2001,41.01,37.26,Tons,90514.21,Tamil Nadu
Sugarcane,Standard,Tamil Nadu,Rabi,2006,89.47,103.14,Tons,138696.5,Tamil Nadu
Oilseeds,Standard,Rajasthan,Zaid,2014,7.79,7.97,Tons,18794.94,Rajasthan
Wheat,Hybrid,Madhya Pradesh,Zaid,2011,28.26,30.98,Tons,62905.93,Madhya Pradesh
Soybean,Organic,Karnataka,Kharif,2011,10.21,10.83,Tons,23052.66,Karnataka
Groundnut,Hybrid,Punjab,Kharif,2014,20.05,18.27,Tons,30692.14,Punjab
Oilseeds,High Yield,Madhya Pradesh,Zaid,2009,7.69,7.14,Tons,13964.01,Madhya Pradesh
Wheat,High Yield,Punjab,Zaid,2004,31.5,28.58,Tons,62373.34,Punjab
Pulses,Hybrid,Uttar Pradesh,Zaid,2005,8.82,9.65,Tons,15865.94,Uttar Pradesh
Cotton,Hybrid,Andhra Pradesh,Kharif,2013,13.01,11.16,Tons,23153.37,Andhra Pradesh
Jute,Standard,Tamil Nadu,Rabi,2014,24.09,25.37,Tons,43965.74,Tamil Nadu
Rice,Organic,Tamil Nadu,Zaid,2007,34.48,37.92,Tons,71372.07,Tamil Nadu
Sugarcane,High Yield,Maharashtra,Kharif,2014,74.89,88.32,Tons,119365.49,Maharashtra
Maize,High Yield,Maharashtra,Zaid,2004,17.27,17.17,Tons,34267.27,Maharashtra
Cotton,Organic,Punjab,Kharif,2008,17.83,20.79,Tons,39688.3,Punjab
Oilseeds,Standard,Haryana,Zaid,2014,11.37,12.49,Tons,20572.65,Haryana
Soybean,Organic,Rajasthan,Kharif,2014,9.35,10.48,Tons,21975.33,Rajasthan
Pulses,Hybrid,Rajasthan,Rabi,2004,7.46,7.48,Tons,13024.46,Rajasthan
Groundnut,High Yield,Punjab,Zaid,2006,17.74,19.77,Tons,40383.81,Punjab
Cotton,Organic,Gujarat,Kharif,2013,11.83,13.46,Tons,24163.06,Gujarat
Jute,High Yield,Gujarat,Rabi,2002,21.46,22.42,Tons,43782.92,Gujarat
Rice,Standard,Uttar Pradesh,Rabi,2003,50.4,49.5,Tons,125556.01,Uttar Pradesh
Rice,Organic,Haryana,Zaid,2013,45.36,50.77,Tons,99063.77,Haryana
Sugarcane,Organic,Punjab,Rabi,2003,93.59,103.6,Tons,230894.38,Punjab
Sugarcane,High Yield,Gujarat,Kharif,2007,82.57,67.01,Tons,200012.92,Gujarat
Cotton,Standard,Gujarat,Zaid,2013,10.45,11.96,Tons,19826.5,Gujarat
Groundnut,Standard,Maharashtra,Kharif,2001,16.56,17.9,Tons,30272.57,Maharashtra
Jute,Organic,Uttar Pradesh,Zaid,2011,17.85,14.79,Tons,42682.58,Uttar Pradesh
Cotton,Standard,Punjab,Zaid,2010,14.23,11.82,Tons,32886.83,Punjab
Cotton,Standard,Karnataka,Zaid,2005,8.44,9.88,Tons,20438.63,Karnataka
Pulses,Organic,Tamil Nadu,Kharif,2014,7.17,5.82,Tons,12811.11,Tamil Nadu
Cotton,Standard,Karnataka,Kharif,2014,9.7,10.18,Tons,23394.94,Karnataka
Wheat,Hybrid,Gujarat,Kharif,2014,42.99,39.16,Tons,84011.84,Gujarat
Groundnut,Standard,Karnataka,Kharif,2002,15.34,16.84,Tons,37228.78,Karnataka
Sugarcane,Standard,Madhya Pradesh,Zaid,2003,48.35,53.32,Tons,80672.34,Madhya Pradesh
Pulses,Standard,Punjab,Rabi,2003,10.18,9.03,Tons,23133.37,Punjab
Wheat,Organic,Tamil Nadu,Zaid,2013,32.99,36.13,Tons,68964.57,Tamil Nadu
Rice,High Yield,Maharashtra,Rabi,2003,49.93,54.07,Tons,84156.8,Maharashtra
Rice,Organic,Punjab,Zaid,2001,45.28,53.47,Tons,103679.68,Punjab
Pulses,Organic,Andhra Pradesh,Kharif,2004,8.77,8.19,Tons,14562.78,Andhra Pradesh
Jute,Organic,Andhra Pradesh,Kharif,2012,17.91,20.66,Tons,33836.98,Andhra Pradesh
Pulses,Standard,Punjab,Kharif,2014,10.31,8.58,Tons,16767.44,Punjab
Wheat,Organic,Rajasthan,Zaid,2010,23.28,20.98,Tons,44752.99,Rajasthan
Jute,Hybrid,Gujarat,Zaid,2011,16.92,13.79,Tons,28980.0,Gujarat
Sugarcane,Standard,Karnataka,Zaid,2004,53.08,48.02,Tons,84155.55,Karnataka
Maize,Hybrid,Madhya Pradesh,Rabi,2012,28.23,27.74,Tons,56593.96,Madhya Pradesh
Soybean,High Yield,Tamil Nadu,Kharif,2014,10.09,8.34,Tons,17808.54,Tamil Nadu
Oilseeds,Organic,Gujarat,Kharif,2014,14.09,15.04,Tons,25805.5,Gujarat
Rice,Hybrid,Tamil Nadu,Rabi,2008,49.98,43.75,Tons,78292.01,Tamil Nadu
Oilseeds,Organic,Punjab,Rabi,2013,17.47,14.19,Tons,41938.48,Punjab
Pulses,High Yield,Andhra Pradesh,Zaid,2007,5.91,6.6,Tons,12378.54,Andhra Pradesh
Sugarcane,Standard,Uttar Pradesh,Zaid,2004,76.23,62.0,Tons,155370.84,Uttar Pradesh
Wheat,Hybrid,Haryana,Kharif,2008,44.74,36.21,Tons,93909.35,Haryana
Pulses,Standard,Uttar Pradesh,Rabi,2007,9.58,9.54,Tons,21767.71,Uttar Pradesh
Oilseeds,Standard,Uttar Pradesh,Rabi,2002,16.65,17.28,Tons,28635.78,Uttar Pradesh
Groundnut,Hybrid,Maharashtra,Zaid,2010,12.78,13.98,Tons,23644.66,Maharashtra
Oilseeds,Standard,Haryana,Rabi,2006,14.34,14.42,Tons,34016.43,Haryana
Rice,Organic,Punjab,Rabi,2004,59.69,50.47,Tons,124024.44,Punjab
Groundnut,Organic,Uttar Pradesh,Kharif,2002,17.97,15.21,Tons,28957.45,Uttar Pradesh
Oilseeds,Standard,Gujarat,Zaid,2010,9.77,10.02,Tons,19193.55,Gujarat
Maize,Standard,Haryana,Kharif,2003,31.87,31.05,Tons,51172.28,Haryana
Cotton,Hybrid,Uttar Pradesh,Zaid,2010,11.78,12.13,Tons,26413.64,Uttar Pradesh
Groundnut,Standard,Rajasthan,Kharif,2007,10.95,10.56,Tons,23173.3,Rajasthan
Pulses,Organic,Maharashtra,Zaid,2001,7.17,8.16,Tons,16216.52,Maharashtra
Cotton,Standard,Maharashtra,Zaid,2014,8.43,9.93,Tons,16114.17,Maharashtra
Cotton,Organic,Madhya Pradesh,Zaid,2004,8.85,10.52,Tons,17704.76,Madhya Pradesh
Pulses,High Yield,Haryana,Rabi,2004,10.77,10.29,Tons,24916.53,Haryana
Sugarcane,Organic,Andhra Pradesh,Zaid,2008,60.47,53.89,Tons,109728.59,Andhra Pradesh
Sugarcane,Hybrid,Gujarat,Kharif,2012,88.29,73.47,Tons,199653.55,Gujarat
Groundnut,Hybrid,Uttar Pradesh,Kharif,2006,20.25,21.62,Tons,40493.21,Uttar Pradesh
Groundnut,Hybrid,Maharashtra,Zaid,2005,11.67,10.37,Tons,25212.79,Maharashtra
Groundnut,Hybrid,Tamil Nadu,Zaid,2001,10.77,10.88,Tons,25822.46,Tamil Nadu
Sugarcane,Organic,Tamil Nadu,Rabi,2013,75.01,84.1,Tons,141527.83,Tamil Nadu
Pulses,Organic,Punjab,Rabi,2002,10.02,8.64,Tons,23621.9,Punjab
Pulses,Organic,Gujarat,Kharif,2013,7.68,6.68,Tons,18312.32,Gujarat
Rice,High Yield,Rajasthan,Zaid,2014,31.16,32.51,Tons,48744.1,Rajasthan
Wheat,Hybrid,Karnataka,Kharif,2014,30.2,24.34,Tons,75079.01,Karnataka
Soybean,High Yield,Gujarat,Kharif,2003,9.36,9.56,Tons,22751.52,Gujarat
Soybean,High Yield,Haryana,Zaid,2008,9.7,9.96,Tons,21402.93,Haryana
Rice,High Yield,Andhra Pradesh,Rabi,2013,50.1,56.83,Tons,87989.89,Andhra Pradesh
Sugarcane,High Yield,Punjab,Rabi,2012,114.3,91.79,Tons,280244.96,Punjab
Sugarcane,High Yield,Maharashtra,Rabi,2002,88.44,73.18,Tons,192228.63,Maharashtra
Jute,Hybrid,Tamil Nadu,Zaid,2012,14.75,14.78,Tons,31819.3,Tamil Nadu
Pulses,High Yield,Haryana,Rabi,2011,9.97,8.45,Tons,19053.44,Haryana
Groundnut,Hybrid,Maharashtra,Zaid,2011,11.75,13.8,Tons,25186.94,Maharashtra
Rice,Standard,Uttar Pradesh,Zaid,2010,42.19,44.47,Tons,102258.45,Uttar Pradesh
Maize,Hybrid,Maharashtra,Rabi,2004,29.57,33.11,Tons,45440.66,Maharashtra
Wheat,High Yield,Madhya Pradesh,Rabi,2005,32.21,33.6,Tons,69610.49,Madhya Pradesh
Soybean,Hybrid,Maharashtra,Rabi,2012,12.41,11.65,Tons,24851.81,Maharashtra
Wheat,Hybrid,Haryana,Zaid,2004,35.01,35.56,Tons,65943.99,Haryana
Cotton,Standard,Maharashtra,Kharif,2002,11.19,11.45,Tons,18805.7,Maharashtra
Maize,Standard,Gujarat,Zaid,2014,20.33,23.0,Tons,50410.14,Gujarat
Sugarcane,Standard,Madhya Pradesh,Kharif,2004,60.88,55.95,Tons,119571.76,Madhya Pradesh
Cotton,High Yield,Andhra Pradesh,Kharif,2002,13.59,13.71,Tons,27406.98,Andhra Pradesh
Sugarcane,Standard,Rajasthan,Kharif,2013,60.45,63.9,Tons,147618.57,Rajasthan
Groundnut,Hybrid,Maharashtra,Zaid,2001,11.24,9.77,Tons,26870.36,Maharashtra
Sugarcane,Organic,Rajasthan,Zaid,2001,54.15,49.74,Tons,95632.86,Rajasthan
Wheat,Standard,Andhra Pradesh,Zaid,2009,28.8,26.54,Tons,49538.09,Andhra Pradesh
Pulses,Hybrid,Uttar Pradesh,Kharif,2004,9.26,10.35,Tons,14533.91,Uttar Pradesh
Soybean,Organic,Rajasthan,Zaid,2014,6.71,6.37,Tons,11304.33,Rajasthan
Soybean,Organic,Andhra Pradesh,Zaid,2011,7.45,8.94,Tons,17910.21,Andhra Pradesh
Sugarcane,Standard,Andhra Pradesh,Rabi,2011,65.91,64.6,Tons,144166.75,Andhra Pradesh
Cotton,Standard,Karnataka,Zaid,2003,9.23,9.91,Tons,16355.05,Karnataka
Groundnut,Organic,Rajasthan,Zaid,2011,11.6,11.91,Tons,22763.74,Rajasthan
Soybean,Standard,Tamil Nadu,Kharif,2004,9.06,10.01,Tons,17479.81,Tamil Nadu
Sugarcane,Hybrid,Tamil Nadu,Zaid,2007,66.74,73.31,Tons,102481.2,Tamil Nadu
Maize,Hybrid,Rajasthan,Zaid,2003,16.16,18.73,Tons,29612.71,Rajasthan
Oilseeds,High Yield,Maharashtra,Kharif,2011,13.77,16.32,Tons,31027.35,Maharashtra
Soybean,High Yield,Karnataka,Rabi,2003,10.43,11.41,Tons,17475.19,Karnataka
Wheat,Standard,Punjab,Rabi,2012,56.8,67.59,Tons,87037.82,Punjab
Groundnut,Hybrid,Gujarat,Kharif,2014,18.62,15.03,Tons,40660.17,Gujarat
Jute,Standard,Tamil Nadu,Rabi,2009,26.54,21.91,Tons,62565.68,Tamil Nadu
Sugarcane,Hybrid,Tamil Nadu,Kharif,2009,71.45,70.4,Tons,130021.94,Tamil Nadu
Maize,High Yield,Rajasthan,Zaid,2009,14.64,12.45,Tons,24174.71,Rajasthan
Soybean,Hybrid,Madhya Pradesh,Kharif,2008,9.52,9.02,Tons,14698.45,Madhya Pradesh
Soybean,High Yield,Rajasthan,Zaid,2012,7.35,8.79,Tons,14652.0,Rajasthan
Cotton,Standard,Karnataka,Rabi,2008,14.13,11.56,Tons,29097.94,Karnataka
Soybean,High Yield,Haryana,Zaid,2007,10.41,11.53,Tons,23033.22,Haryana
Soybean,Standard,Tamil Nadu,Zaid,2014,7.73,7.31,Tons,19175.19,Tamil Nadu
